Code 代码	Abbrev 产品缩写	Description 说明	Support Wallet 支持钱包	LOTT 彩票	LIVE 真人	RNG 电子	FISH 捕鱼	PVP 棋牌	SPORT 体育	ESPORT电竞
2	TCG LOTTO	TCG LOTTO	TRANSFER / SEAMLESS	LOTT/彩票						
3	PT	Playtech	TRANSFER		LIVE/真人	RNG/电子	FISH/捕鱼			
4	AG	PlayAce	TRANSFER / SEAMLESS		LIVE/真人	RNG/电子	FISH/捕鱼			
9	TTG	ToptrendGaming	SEAMLESS			RNG/电子				
12	PNG	Play n Go	TRANSFER			RNG/电子				
13	HB	Habanero	TRANSFER / SEAMLESS			RNG/电子				
16	CQ9	CQ9	TRANSFER / SEAMLESS			RNG/电子	FISH/捕鱼			
17	AE	AmebaEntertainment	TRANSFER / SEAMLESS			RNG/电子				
27	DG	DreamGaming	TRANSFER / SEAMLESS		LIVE/真人					
28	AB	AllBet歐博	TRANSFER		LIVE/真人					
34	HC	GB 电子	TRANSFER			RNG/电子	FISH/捕鱼			
37	WD	Wazdan	SEAMLESS			RNG/电子				
38	KY	开元棋牌	TRANSFER			RNG/电子	FISH/捕鱼	PVP/棋牌		
39	PP	Pragmatic Play	TRANSFER		LIVE/真人	RNG/电子				
41	BG	BigGame大游	TRANSFER / SEAMLESS		LIVE/真人					w1
42	CG	Caleta Gaming 卡莱塔博彩	SEAMLESS			RNG/电子				
43	MG	Micro Gaming	TRANSFER		LIVE/真人	RNG/电子	FISH/捕鱼			
45	TH	天游棋牌	TRANSFER			RNG/电子	FISH/捕鱼	PVP/棋牌		
47	BTI	BTI	TRANSFER / SEAMLESS						SPORTS/体育	
48	NE	NetEnt	TRANSFER			RNG/电子				
49	VT	路虎电子	TRANSFER			RNG/电子				
52	XY	幸运棋牌	TRANSFER				FISH/捕鱼	PVP/棋牌		
54	SBO	SBOBET	TRANSFER		LIVE/真人				SPORTS/体育	
55	JDB	JustDoTheBest	TRANSFER / SEAMLESS			RNG/电子	FISH/捕鱼	PVP/棋牌		
61	IMES	InplayMatrixE-Sports	TRANSFER / SEAMLESS							ESPORT/电竞
62	VG	财神棋牌	TRANSFER				FISH/捕鱼	PVP/棋牌		
63	SW	SkyWind	TRANSFER			RNG/电子				
64	LB	LB-KENO	TRANSFER / SEAMLESS	ELOTT/盘口彩票						
65	CR	CROWN SPORTS皇冠体育	TRANSFER						SPORT/体育	
68	IMSB	InplayMatrixSports	TRANSFER / SEAMLESS						SPORTS/体育	
71	IA	IlustreAnalytics	TRANSFER							ESPORT/电竞
73	VR	VRGaming	TRANSFER	ELOTT/盘口彩票						
76	GPI	GamePlayInt	TRANSFER / SEAMLESS	ELOTT/盘口彩票	LIVE/真人	RNG/电子				
79	BB	BBIN	TRANSFER		LIVE/真人	RNG/电子	FISH/捕鱼		SPORTS/体育	
83	HLG	欢乐棋牌	TRANSFER					PVP/棋牌		
90	BOM	Booming Games	SEAMLESS			RNG/电子				
91	PIN	AP Gaming	TRANSFER / SEAMLESS						SPORTS/体育	
92	SAS	SimplePlay电子	TRANSFER / SEAMLESS			RNG/电子	FISH/捕鱼			
93	SA	SA Gaming	TRANSFER / SEAMLESS		LIVE/真人					
98	PG	Pocket Games Soft	TRANSFER / SEAMLESS			RNG/电子				
99	TF	TF GAMING	TRANSFER / SEAMLESS							ESPORT/电竞
102	V8 (LCC)	V8 POKERS	TRANSFER					PVP/棋牌		
104	CMD	CMD368体育	TRANSFER						SPORTS/体育	
109	NE2	NETENT	TRANSFER			RNG/电子				
112	SEX	SEXY AWC	TRANSFER / SEAMLESS		LIVE/真人					
116	MA	MegaApp	TRANSFER / SEAMLESS			RNG/电子				
117	PRE	Pretty Gaming	TRANSFER / SEAMLESS		LIVE/真人					
118	WM	WM CASINO	TRANSFER /SEAMLESS		LIVE/真人					
119	AMB	Ambpoker	SEAMLESS			RNG/电子		PVP/棋牌		
121	KM	King Midas	TRANSFER / SEAMLESS			RNG/电子		PVP/棋牌		
122	U9W	9wickets	TRANSFER						SPORTS/体育	
123	KP	KingsPoker	TRANSFER					PVP/棋牌		
124	CRG	Creative Gaming	TRANSFER / SEAMLESS			RNG/电子	FISH/捕鱼			
